Symbol,Year,Month,Open,High,Low,Close,Volume
CORFICOLCF.CL,2023,11,12620.0,13000.0,11620.0,11940.0,1308940
CORFICOLCF.CL,2023,12,11940.0,13500.0,11280.0,13500.0,669377
CORFICOLCF.CL,2024,1,13500.0,17240.0,13240.0,16500.0,740496
CORFICOLCF.CL,2024,2,16480.0,16640.0,14000.0,14000.0,542633
CORFICOLCF.CL,2024,3,14320.0,14680.0,13000.0,13300.0,1174997
CORFICOLCF.CL,2024,4,13400.0,16300.0,13400.0,14800.0,2704814
CORFICOLCF.CL,2024,5,14800.0,16300.0,14280.0,15020.0,2770341
CORFICOLCF.CL,2024,6,15020.0,15420.0,13980.0,14260.0,765130
ECOPETROL.CL,2020,1,3315.0,3435.0,3140.0,3180.0,157911964
ECOPETROL.CL,2020,2,3140.0,3495.0,3000.0,3105.0,184147537
ECOPETROL.CL,2020,3,3060.0,3195.0,1300.0,1900.0,274567008
ECOPETROL.CL,2020,4,1840.0,2400.0,1750.0,2090.0,231699357
ECOPETROL.CL,2020,5,2090.0,2090.0,1855.0,1990.0,166987042
ECOPETROL.CL,2020,6,2005.0,2430.0,1945.0,2075.0,186597571
ECOPETROL.CL,2020,7,2060.0,2265.0,2020.0,2080.0,155866004
ECOPETROL.CL,2020,8,2140.0,2270.0,2100.0,2190.0,145777228
ECOPETROL.CL,2020,9,2210.0,2210.0,1880.0,1895.0,252765284
ECOPETROL.CL,2020,10,1875.0,1972.0,1615.0,1791.0,176371025
ECOPETROL.CL,2020,11,1791.0,2260.0,1791.0,2081.0,236567433
ECOPETROL.CL,2020,12,2129.0,2380.0,2102.0,2245.0,240640047
ECOPETROL.CL,2021,1,2245.0,2491.0,2030.0,2030.0,248135937
ECOPETROL.CL,2021,2,2030.0,2349.0,2030.0,2250.0,197825414
ECOPETROL.CL,2021,3,2246.0,2480.0,2240.0,2366.0,235203416
ECOPETROL.CL,2021,4,2366.0,2374.0,2210.0,2210.0,160807676
ECOPETROL.CL,2021,5,2219.0,2418.0,2151.0,2190.0,159439506
ECOPETROL.CL,2021,6,2276.0,2790.0,2230.0,2722.0,150994775
ECOPETROL.CL,2021,7,2819.0,2875.0,2440.0,2633.0,140193398
ECOPETROL.CL,2021,8,2598.0,2690.0,2470.0,2643.0,194001416
